CustomerID,Lookalikes
C0001,"[('C0072', 0.946105176936384), ('C0190', 0.9415577271671414), ('C0069', 0.9105496531690126)]"
C0002,"[('C0029', 0.9993708548979269), ('C0010', 0.997903864805961), ('C0009', 0.9720003865935539)]"
C0003,"[('C0178', 0.999865879448906), ('C0052', 0.975410344806215), ('C0166', 0.9577361600188209)]"
C0004,"[('C0021', 0.9997310950937549), ('C0101', 0.9976456023884404), ('C0075', 0.9934162075567599)]"
C0005,"[('C0112', 0.997617843800819), ('C0197', 0.9953167594730898), ('C0095', 0.9800922995678589)]"
C0006,"[('C0117', 0.9968489322097402), ('C0168', 0.978264001321209), ('C0185', 0.9594096068280932)]"
C0007,"[('C0120', 0.9949897643552799), ('C0140', 0.9798101409546569), ('C0020', 0.9367167099388616)]"
C0008,"[('C0113', 0.9322254762561094), ('C0124', 0.9015886524250847), ('C0109', 0.8563098794020898)]"
C0009,"[('C0077', 0.9997899920904881), ('C0083', 0.9967636146195231), ('C0033', 0.9817031601343669)]"
C0010,"[('C0029', 0.99957123050574), ('C0002', 0.997903864805961), ('C0009', 0.9807961382416003)]"
C0011,"[('C0064', 0.9663847037168202), ('C0137', 0.9243728662391439), ('C0135', 0.8720595247842676)]"
C0012,"[('C0104', 0.9718143504908033), ('C0059', 0.9499893497020718), ('C0065', 0.9393483793256482)]"
C0013,"[('C0143', 0.9999265905268068), ('C0099', 0.9861744175216884), ('C0053', 0.965944872773243)]"
C0014,"[('C0128', 0.9961184019336934), ('C0151', 0.9951226288241954), ('C0097', 0.9844326007917693)]"
C0015,"[('C0132', 0.9849940816818186), ('C0036', 0.9834692674657693), ('C0131', 0.9772816942628351)]"
C0016,"[('C0183', 0.9997857762658624), ('C0107', 0.9737535877096154), ('C0149', 0.9357514301288596)]"
C0017,"[('C0004', 0.9734437011787769), ('C0090', 0.9725567784571196), ('C0075', 0.9692050858710901)]"
C0018,"[('C0187', 0.9978161255725859), ('C0171', 0.9938927112484339), ('C0006', 0.9385982759913243)]"
C0019,"[('C0116', 0.9791171467140272), ('C0047', 0.9442390452605016), ('C0121', 0.8897661206407332)]"
C0020,"[('C0140', 0.9796729281741055), ('C0120', 0.9462685197676154), ('C0007', 0.9367167099388616)]"
